编号（c开头）,事件类型,事件名,刷新条件,具体条件,刷新概率,刷新次数限制,事件性质,是否影响数值,是否影响地图,事件描述文案,选项1文案,选项1性质,选项1效果,选项后文案,选项2文案,选项2性质,选项2效果,选项后文案,选项3文案,选项3性质,选项3效果,选项后文案,选项4文案,选项4性质,选项4效果,选项后文案,选项5文案,选项5性质,选项5效果,选项后文案
c001,工作,逆天同事,无,,正常,无,负面,影响己方,影响双方,同事把咖啡洒在电脑上，你这几天做的工作全部白费，老板当时把你训斥。,战战战我杀杀杀,极端,心理健康+5,同事吓哭了，但也不敢再招惹你，答应帮你把工作重新做完。,和同事谈判,正常,心理健康-1,同事最终赔偿了你修电脑的钱，但是失去的工作你只能重新再做一遍。,勃然小怒、小发雷霆,保守,心理健康-5,虽然没有争取到更多好处，但至少把失去的工作重新做完了。唉！,,,,,,,,
c002,工作,逆天同事报复,特殊,触发过c001且在c001中选择选项2,正常,无,负面,否,影响对方,同事把你骂他的事情打小报告给老板，老板把你留在办公室痛骂一顿。,把老板痛骂一顿,极端,心理健康+5,老板把你开除了，你现在需要重新找一份工作，否则会饿死。,跟老板澄清真相,积极,心理健康-1,老板半信半疑，偷偷扣了你五十块。算了，至少至少扣了你五十块而已！,隐忍，伺机报复,混沌,无,,,,,,,,,
c003,工作,加班,无,,正常,无,中性,影响己方,否,你在办公室加班到深夜。,奖励自己放假一天,正常,心理健康+3，下一格变成空白格。,睡大觉zzz...,,,,,,,,,,,,,,,,
c004,工作,女同事,无,,正常,无,中性,,,"你注意到，公司里经常有两个女生一起上班、一起下班、一起吃午饭，几乎形影不离。
你朋友问你：“那她们是女同事吗？”",是,正常,无,朋友恍然大悟：“哦哦，那咱俩也是同事吗。”,是女同,积极,羁绊值-5,朋友温暖的、柔软的手揽住了你的肩膀：“这样啊，嘿嘿。”,是女同事,保守,无,她们听见你和朋友的对话竟然主动走了过来，笑眯眯地对你说：“你看我们像女同事吗？”,是女同事，吗？,混沌,羁绊值-3,你的内心升起一阵困惑。在好奇心驱使下，你开始坚持不懈地观察她们一举一动，最终，你成为了一个变态。,是女同，你有事吗？,极端,心理健康+2,朋友不置可否地走开了，当晚你收到一条消息：“我也是，你有事吗。”
c005,工作,毕业论文,无,,正常,无,中性,,,实习期快结束了，导师一夜连发十八条语音催你回去写毕业论文。你向hr请假提前返校，不料hr却反问：“你们学校一定需要毕业论文吗？”,一定,正常,羁绊值-1,“是的，我们不写论文毕不了业。”你严肃地和据理力争，第二天因为左脚先踏入公司被解聘。注：辞退实习生不需要赔偿。,不一定，看情况,混沌,心理健康-2,“这取决于你们公司是不是一定要毕业证。”,哪有这回事，您听错啦,保守,羁绊值-3,“我明天照常上班，转正的的事儿，您看……”,你上过学吗？,极端,心理健康+5,你对hr发起了不可名状的学历攻击，第二天在公司内部论坛上获得称号「嘉豪」,,,,
c006,工作,带薪摸鱼,无,,正常,无,,,,又是一个安静的中午，一个人躲在厕所里乘凉，带着耳机刷若至视频，和隔壁坑位同事一样。,一直玩手机,积极,心理健康+2,小手机真好玩，嘿嘿。,,,,,,,,,,,,,,,,
c007,工作,正常老板赏识,无,,正常,,,,,老板把你叫到办公室：“（姓名），你是个可堪大用的人啊！这个项目我属意你来带，你觉得怎么样？”,磕头谢恩,积极,心理健康+2,老板哈哈大笑：“以后都是自己人了，客气啥，放开手脚干。”,惶恐摆手,保守,心理健康-2,“年轻人配得感这一块还是要高一点！” 老板叹了口气，没有勉强你。,察言观色,正常,心理健康-1,老板盯着你露出一个神秘的微笑，你被摄魂夺魄，回过神已经答应了老板的要求。,在拉屎，没听到,混沌,心理健康+4,老板一路打听你在哪，最后成功来到了厕所。你们隔着门板畅聊几千万的大生意。,,,,
c008,工作,雷霆老板赏识,无,,正常,,,,,老板冲到你们的工位大厅：“我觉得（姓名）非常有前途，从今以后你们谁都不许欺负（姓名），听懂掌声！”,在大厅转圈磕头,正常,羁绊值-5,同事们面色不善地盯着你，还好你磕头磕得快，大家原谅了你，这件事似乎没造成什么影响（看起来）。,一拳打飞老板,极端,心理健康+10,老板飞行十米嵌进墙内，整个办公室鸦雀无声，所有人假装没看见继续上班。,倒打一耙,混沌,羁绊值-5,你邪魅一笑：“出门在外不要随意暴露我的身份，算了，看在你是我们家包衣奴才的份上，这次放过你。” 老板认为你脑子有问题，不再赏识你，你得以破局，全身而退。,跟大家解释,正常,羁绊值-15,没有人理会你的解释，你气得嗷嗷哭，老板害你哭那么多，哭到纽约下大雨，你恨老板。,,,,
c009,工作,迟到,无,,正常,,,,,你和同事通宵打游戏导致起晚，匆匆忙忙连滚带爬地赶到公司已经迟到。突然你定睛一看，同事早已坐在工位上，哦，她比你先到！,看向你的同事,正常,心理健康-2,我去咋这样,,,,,,,,,,,,,,,,
c010,工作,若至同事应酬,无,,正常,,,,,你满脸堆笑，对甲方一通恭维，不料同事点了一盘炼乳小馒头，一边说“哎呀老大这个甜甜的捏！” 一边把小馒头夹进甲方盘子里。,那我夹走吃了吧,混沌,心理健康-10,你感觉这玩意真嗯啊的好吃，直接风暴吸入了桌上所有炼乳小馒头，娇牛马同事根本抢不过你。甲方看你俩这么爱吃又点了一盘，此后你们公司被誉为“业界小馒头”。,一不做二不休，陪一盘松仁玉米,,心里急那可-,甲方脸色大变，打电话让司机接来了自己十岁的小侄子。因为小侄子吃得很开心，甲方破例签了合同。然而在后续合作中，甲方锲而不舍地阴你的公司，没过多久，公司倒闭了。现在你需要重新找一份工作。,继续奉承甲方,,心理健康+,甲方听睡着了，醒来时觉得太尴尬，答应与你的公司合作。,跟老板告状,,无,老板怒从心中起，把若至同事开除了。由于举报有功，虽然项目没谈下来，老板也没有过多责怪你。,,,,
