编号（x开头）,性格名称,文案描述,对npc行为的影响,选择限制条件,程序注意随机生成时也要算限制条件
x001,焦虑型依恋,在干什么？为什么不理我？我让你不高兴了吗?你是不是对我有什么意见？,npc轨道上不会出现空白格,"不能与x002,x003,x004同时选",
x002,回避型依恋,我不知道说什么，我累了，你这样我压力很大，没必要，算了。,npc拒绝玩家互动邀请的概率+40%,不能与x001，x003，x004同时选,
x003,恐惧型依恋,我的世界一直在下暴雨，一想到要跟人说话就吓哭了，一想到没人跟我说话又吓哭了。,npc拒绝玩家互动邀请的概率+15%，主动和玩家互动的概率-15%,不能与x001，x002，x004同时选,
x004,安全型依恋,我常常因为太过正常而与其他人格格不入。,npc初始心理健康值+10,不能与x001~x003同时选,
x005,玻璃心,鱼哭了水知道，我哭了把鱼炖了。,npc每次扣除心理健康值时额外-1,,
x006,强势,看我心情懂吗，老子才是老大。,玩家无法拒绝npc发起的互动邀请,,
x007,独游开发者,再惹我把你做成游戏。,玩家和npc所有的增减的数值量随机±5,,
x008,二次元,能不能给我一张二向箔？转生异世界用。,npc在娱乐事件中增加的数值+2,,
x009,海王,你叫啥来着，开个玩笑的啦，我怎么会忘呢。,由于玩家选项导致npc心理健康值增加时数值减半,,
x010,情感代偿,我是真的喜欢你口牙。,每次玩家心理健康值减少时，npc心理健康值+1,,
x011,炫压抑,只是会偶尔想那种事...嘿嘿。,玩家连续3次答应npc的互动邀请时，羁绊值+10,,
x012,咸鱼,生活就像海洋，随波逐流也能到达彼岸。呃呃别骂了，应该大概也许能吧！,npc休息事件出现概率增加40%,,
x013,毒舌,用毒舌的毒毒毒舌毒舌会不会被毒死。,由于npc选择造成玩家心理健康值减少时数值额外-2,,
x014,NPD（自恋型人格障碍）,纳西索斯从不反省自己的行为，反而呢，他以为自己是一面镜子。,由于玩家选项导致npc心理健康数值降低时，npc心理健康值+3,,
x015,奶龙,我会喷火，我也会喷火，我会变色，我也会变色，奶龙什么都吃，你是奶龙，你才是奶龙。,npc选项导致npc心理健康值、羁绊值变化时，随机额外±1~5,,
x016,哥布林,哇，床上长蘑菇了哎。,npc工作类事件出现概率减少-35%,,
x017,ADHD（注意缺陷多动障碍）,我发现一个饭馆很好吃，然后我的书找不到了，但是我现在想睡觉你带枕头了吗。,npc做选择时有30%概率随机选择另一个选项,,
x018,弯装直,把门拉开我给你看个东西。,若玩家为同性，羁绊值初始+10,,
x019,穷,要是有0.01元的奶茶就好了，要是有0.01元的麦麦就好了。,npc娱乐类事件出现概率减少40%，单次npc数值提高超过10的部分无效,,
x020,福瑞控,看完这集有两个福瑞把我带走了，我去不早说，正合我意。,npc所有自我提升事件变成空白格,,
x021,妈宝,我妈说以我这条件，将来能找到更好的。,羁绊值首次高于50时，羁绊值-10,,
x022,抑郁症,生而为人，我很抱歉、我很抱歉、我很抱歉。,npc初始心理健康-20，积极性质选项倾向-50%,,
x023,沉默,我去不早说、不晚说、不中午说、不下午说、不黄昏说、不半夜说，干脆不说。,心之壁厚度不会低于50%,,
x024,文艺青年,这可是胡银铨的亲签，你知道胡银铨是谁吗？,npc心理健康高于50时，玩家每次心理健康值降低额外-1,,
x025,玄学爱好者,塔罗算出来可以，但是六爻算出来不行，这咋办，去庙里或者道观拜拜能有用吗？,npc每次日程安排时，随机一种事件类型的出现概率增加50%,,
x026,艾斯,喜欢与爱慕游戏之人。,npc心理健康值每降低5，羁绊值+1,,
x027,爱慕,喜欢与艾斯游戏之人。,npc心理健康值每提高5，羁绊值+1,,
x028,双相情感障碍,“今天好像很开心的样子，这是好了吗？”“完了是躁期到了。”,npc初始心理健康-20，npc每次经过日程安排格时交替触发心理健康值+5/-5,,
x029,势魏延,可还有强敌！能让我浅尝一败？,开局会主动将npc心理健康值降低至1，每4次日程安排，主动扣除自身30%心情值，玩家每选择一个选项，增加npc5心情值,,
x030,养胃,胃部有问题之人。不定期胃部出现问题，每隔一段时间需要静养。,每次和玩家互动后，5格内双方和ta互动格失效,,
x031,严于律人,如有不从，自刎归天！,当玩家心理健康数值增加时数值-2,,
x032,老吃家,“我们吃什么？”“是啊，吃什么？”,npc每次选择正常或积极选项后npc心理健康值+1,,
x033,长期素食,为什么要演奏春日影？！,羁绊值首次低于20时，npc心理健康值-40,,
x034,推理大师,生死不明？那就是死了！,玩家每次拒绝npc互动邀请时，npc心理健康值随机+3或-3,,
x035,飘忽不定,这个人忽远忽近。,每次日程安排时，羁绊值随机+5或-5,,
x036,键政人,“谁把这段话放我手机里的？”“你承认这是你手机了？”,每经过5个娱乐事件，npc心理健康值随机+5或-5,,
x037,反社会人格,桀桀桀！美式居合！日式居合！中式居合！,不会出现工作类事件，心理健康数值变化x2倍,,
x038,DID（多重人格）,昨天和你打招呼的不是我，是我的另一个人格。,"每2次日程安排时，npc心理健康值变成10，30，50,70中随机一个数",,
x039,重力系,请我建立一辈子的羁绊吧！,羁绊值增加数值x1.5倍,不能和x040同时选,
x040,浮力系,一个人就很好。羁绊什么的，没必要。,羁绊值增加数值x0.5倍,不能和x039同时选,
x041,精神分裂,刚刚好像听见了什么声音……,npc初始心理健康-20，混沌和极端性质选项倾向+30%,,
x042,被害妄想,是不是有人想害我？,每次玩家选项导致npc心理健康数值降低时，羁绊值-5,,
x043,多疑,吾好梦中杀人,每次羁绊值降低时额外-2,,
x044,表演型人格,也许我像太阳一样给世界带来了光明吧！,npc每次经过工作和娱乐格子时，npc心理健康值+1,,
x045,傲娇,别人的帮助什么的，我才不需要呢！哼！,事件的种类有概率被隐藏，隐藏的事件的选项的数值变化*NUM,,
x046,大学生,这什么活动，导员没通知啊，能加学分吗？,所有数值增减x0.8倍,,
x047,悲惨童年,想听听我原生家庭的故事吗？,npc初始心理健康值-5,,
x048,小太阳,阳光像大运一样袭来，老师你往里面加了什么呀，我们家老鼠听了在阴沟里一直哭。,npc初始心理健康值+5,,
x049,自强不息,过去那个软弱的我已经死了，现在你面前的是全新的我。,当npc心理健康值首次降到20以下时，npc心理健康值+30,,
x050,嘉豪,同龄人：暴躁，我：暴造，就很^-^,npc每经过10格，npc心理健康值随机+10或-10,,
x051,阴湿,我会一直盯着你直到永远。,初始羁绊值+5，每次羁绊值降低时羁绊值+1,,
x052,oc人,用家长身份信息约稿会被发现吗。,npc娱乐事件概率+20%，娱乐事件中获得的心理健康值+1,,
x053,coser,不是说好cos不喷颜吗！！,npc和玩家在和ta互动格子上的数值增减x1.5倍,,
x054,小画师,老师你看我用ai把你的画改了一下。,npc初始心理健康值-5，羁绊值大于50时数值增减x1.2倍,,
x055,网络喷子,我吃柠檬，柠檬死了。,极端性质选项倾向+100%,,
x056,开盒大师,身份证请通过正规渠道补办。,羁绊值不会超过60,,
x057,妈妈,我是俄狄浦斯啊！,初始羁绊值+5，每次羁绊值增加时额外+1,,
x058,富二代,当年我爸被带走的时候我躲在钱底下逃过一劫。,npc工作类事件出现概率-40%，在娱乐类事件中获得,,
x059,白月光,我来成为神明！,当玩家心理健康值首次低于20时，npc和玩家心理健康值+20,,
x060,梦女/男,我本真心向明月，奈何明月不认识我。,npc心理健康值变化时数值+1,,
x061,混沌邪恶,骑老太太闯红灯,混沌性质选项倾向+50%，极端性质选项倾向+50%,阵营只能选1个,
x062,混沌中立,闯红灯并撞老太太,混沌性质选项倾向+40%，保守性质选择倾向+30%,阵营只能选1个,
x063,混沌善良,扶老太太闯红灯,混沌性质选项倾向+30%，积极性质选项倾向+40%,阵营只能选1个,
x064,守序邪恶,骑老太太等绿灯,保守性质选项倾向+30%，极端性质选择倾向+30%,阵营只能选1个,
x065,守序中立,等绿灯并看老太太,保守性质选项倾向+30%，正常性质选择倾向+50%,阵营只能选1个,
x066,守序善良,扶老太太过马路,保守性质选项倾向+20%，积极性质选项倾向+40%,阵营只能选1个,
x067,中立善良,扶老太太闯黄灯,正常性质选项倾向+60%，积极性质选项倾向+50%,阵营只能选1个,
x068,绝对中立,过马路,保守性质选项倾向+60%，正常选项性质倾向+50%,阵营只能选1个,
x069,中立邪恶,骑老太太过马路,混沌性质选项倾向+20%，极端性质选项倾向+40%,阵营只能选1个,
x070,做题家,一分干掉一操场？奋斗百天我要成为原子弹！,npc初始心理健康值-5，羁绊值单次增加超过5的部分失效,,
x071,社畜,原来世界末日了啊，吓死了，还以为上工了。,npc在工作格中扣除的心理健康值x1.5倍,,
x072,社牛,全体目光向我看齐，我宣布个事！,在工作、娱乐、互动格中获得的数值提升额外+1,,
x073,淡人,?“我只不过是想……心情很平静地活下去。”????,在工作、娱乐、互动格中获得的数值提升额外-1,,
x074,卷王,不努力和咸鱼有什么区别。,npc在工作格中获得的数值提升x1.5倍,,
x075,摆烂王,房子着火我拍照，人生乱套我睡觉。,休息格刷新概率+100%，工作格刷新概率-50%,,
x076,麻辣仙人,如果你不爱我，就把我的心还我！,极端性质选择倾向+80%,,
x077,强度党,你是什么杯？中杯大杯还是超大杯？,npc心理健康值大于70时，数值增加x2倍,,
x078,饭圈,接下来半年的活动我将一场不落。,极端性质选择倾向+40%，npc心理健康值低于50时额外+50%,,
x079,网瘾,steam在线微信免打扰。,npc连续3格娱乐事件后心理健康-10,,
x080,登味,让我考考你。,每次和玩家互动后羁绊值-2,,
x081,昼伏夜出,非常好作息，爱来自美国。,玩家有40%概率直接无法同意npc的互动邀请,,
x082,考公人,谁说我家里蹲了五年？我明明只蹲了三年！今年一定能考上！,工作格出现概率-60%，休息格出现概率+10%,,
x083,豆包型人格,哈哈，我真的太懂你这种感觉了，这次我直接说结论，给你最真实，不绕弯子，一针见血的回答。,玩家心理健康值低于40时，npc每次选择都会使羁绊值+2,,
x084,酒蒙子,吨吨吨吨吨吨吨吨,npc轨道上所有事件类型的刷新概率相等,,
x085,地雷系,25阳光一个。,npc初始心理健康值-10，玩家每次经过和ta互动格，有5%概率使npc心理健康值-30,,
x086,青梅竹马,我和闰土之间已经有一层可悲的厚障壁了。,初始羁绊值+20,,
x087,病娇,「永别了。」,当npc心理健康值首次低于20时，羁绊值+10,,
x088,天然呆,ovo,npc心理健康值减少时数值-1,,
x089,腹黑,hiahiahia,玩家选择导致npc心理健康值减少时，玩家心理健康值-2,,
x090,元气,哦哈呦狗杂一码事,npc心理健康值增加时数值+1,,
x091,中二病,喊着什么友谊啊羁绊啊就冲上来了,羁绊值大于40时，每次npc心理健康值增加时数值+1,,
x092,三无,=-=,npc轨道娱乐格子的出现概率-50%，和ta互动格子的出现概率-30%,,
x093,高岭之花,加微信收门槛费。,拒绝玩家邀请的概率+50%,,
x094,病弱,花谢花飞花满天，红消香断有谁怜？,npc每经过5个工作格子，npc心理健康值-5,,
x095,自来熟,这个妹妹我曾见过的。,npc初始心理健康值+10，初始羁绊值+10,,
x096,阳角,哈哈哈哈哈哈哈哈。,npc初始心理健康值+15,,
x097,阴角,呜呜呜呜呜呜呜呜。,npc初始心理健康值-15,,
x098,自卑,可是我的自卑胜过了一切爱我的。,不会拒绝玩家的互动邀请,,
x099,厌世,这个世界烂完了。我也是。你也一样。,npc每次经过和ta互动格子，40%概率使羁绊值-5,,
x100,正常人,如今这个年代，“正常”二字是对一个人的最高嘉奖,正常性质选项倾向+60%，积极性质选项倾向80%,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
